"","severity","aspen","distance.pre","distance.post","distance.high","elevation","ppt","tmean","tmin","tmax","ppt.2021","ppt.2022"
"9823",1,0,775.241943359375,785.175170898438,0,1780.55212402344,450.303985595703,8.77999973297119,-7.96439981460571,29.1958999633789,394.064300537109,324.555389404297
"9824",4,0,333.766418457031,333.766418457031,84.8528137207031,2854.64599609375,454.824981689453,2.30999994277954,-12.5852994918823,22.4444999694824,451.230102539062,417.396179199219
"9825",4,0,407.062652587891,648.845153808594,271.661560058594,3225.68310546875,752.492980957031,0.259999990463257,-14.5157995223999,20.2500991821289,771.675476074219,756.309875488281
"9826",4,0,288.617401123047,413.037536621094,123.693168640137,2645.59936523438,462.440979003906,4.5,-9.72410011291504,24.5860996246338,452.648101806641,412.063201904297
"9827",4,0,130,572.800170898438,573.149169921875,2789.50146484375,573.731994628906,3.76999998092651,-10.4868001937866,23.2842998504639,581.781188964844,507.327575683594
"9828",4,0,164.01220703125,254.950988769531,150,3199.84765625,736.099975585938,0.740000009536743,-13.6904001235962,20.4370002746582,840.832580566406,849.466491699219
"9829",1,0,70.7106781005859,70.7106781005859,0,2707.92309570312,426.657989501953,2.49000000953674,-13.8022994995117,23.4783000946045,451.230102539062,417.396179199219
"9830",4,0,36.0555114746094,56.5685424804688,60,2536.28491210938,545.282958984375,4.94999980926514,-9.24879932403564,24.7684993743896,658.675170898438,580.410461425781
"9831",4,0,60,60,42.4264068603516,2783.98779296875,594.823974609375,3.42999982833862,-11.332200050354,22.7206993103027,639.723510742188,571.860778808594
"9832",3,0,90.5538558959961,460.108673095703,60,3287.08544921875,887.652954101562,0.0799999982118607,-14.3773994445801,19.3862991333008,1013.08996582031,994.805847167969
"9833",1,0,238.537216186523,238.537216186523,0,2751.88012695312,471.103973388672,3.53999996185303,-10.753999710083,23.3984985351562,451.688781738281,408.616180419922
"9834",1,0,547.083190917969,547.083190917969,0,1746.96228027344,466.862976074219,9.05999946594238,-7.67659997940063,29.3145999908447,425.243194580078,343.420776367188
"9835",2,0,402.616424560547,1562.85009765625,0,3247.75024414062,756.828857421875,0.0899999961256981,-14.4839000701904,19.6451988220215,855.543395996094,778.822204589844
"9836",4,0,711.758422851562,711.758422851562,152.970581054688,3162.28125,747.260986328125,0.52999997138977,-14.3807001113892,20.5086002349854,700.344299316406,667.737854003906
"9837",3,0,197.230834960938,850.235290527344,254.55842590332,2578.53295898438,390.849975585938,3.99000000953674,-10.2739000320435,24.0504989624023,516.11669921875,457.376586914062
"9838",2,0,319.530914306641,319.530914306641,0,2439.89184570312,409.957977294922,5.51989984512329,-8.90390014648438,25.6509990692139,391.963195800781,347.281280517578
"9839",3,0,196.468826293945,196.468826293945,30,2467.26147460938,421.739990234375,5.33999967575073,-9.03619956970215,25.451099395752,414.816986083984,381.8798828125
"9840",1,0,30,30,0,2692.61865234375,456.003997802734,4.21000003814697,-10.0324001312256,24.0848999023438,451.688781738281,408.616180419922
"9841",1,0,44.7213592529297,44.7213592529297,0,2158.23193359375,476.820983886719,7.60999965667725,-7.23309993743896,26.9634990692139,492.213592529297,420.105804443359
"9842",3,1,0,228.473190307617,127.27921295166,2716.44213867188,430.894989013672,2.47000002861023,-13.1998996734619,23.1417999267578,499.099395751953,468.885681152344
"9843",3,0,736.817504882812,736.817504882812,30,3018.38500976562,640.804870605469,1.46999990940094,-14.2747993469238,21.9065990447998,666.644775390625,633.844787597656
"9844",3,0,240.831893920898,240.831893920898,90,2595.13159179688,446.945983886719,4.73999977111816,-9.44969940185547,24.7462997436523,411.267181396484,370.445495605469
"9845",2,0,53.8516464233398,53.8516464233398,0,2407.20434570312,514.407958984375,5.85999965667725,-8.54850006103516,25.603199005127,581.781188964844,507.327575683594
"9846",4,1,0,230.21728515625,161.554946899414,2692.77368164062,433.25,3.99000000953674,-10.462399482727,24.1393985748291,500.984100341797,468.112396240234
"9847",4,0,82.4621124267578,90.5538558959961,84.8528137207031,2587.04418945312,481.450988769531,4.90999984741211,-9.37090015411377,24.99880027771,507.929779052734,464.253875732422
"9848",3,0,268.328155517578,304.630920410156,67.0820388793945,2730.234375,493.717987060547,4.42000007629395,-9.77960014343262,24.4815998077393,507.929779052734,464.253875732422
"9849",4,0,20,67.0820388793945,42.4264068603516,2215.64794921875,377.399993896484,6.01989984512329,-8.44619941711426,26.1504993438721,397.981597900391,338.804595947266
"9850",4,0,277.308471679688,303.64453125,90,2693.98852539062,493.717987060547,4.42000007629395,-9.77960014343262,24.4815998077393,507.929779052734,464.253875732422
"9851",3,0,36.0555114746094,86.0232543945312,108.166534423828,2785.89916992188,547.096008300781,2.66999983787537,-11.7135000228882,22.6065998077393,722.501770019531,707.290283203125
"9852",1,0,30,30,0,2374.99584960938,404.325988769531,4.56999969482422,-10.3886995315552,25.1693000793457,431.540679931641,390.792785644531
"9853",2,0,291.547607421875,296.816436767578,0,2537.7158203125,409.957977294922,5.51989984512329,-8.90390014648438,25.6509990692139,391.963195800781,347.281280517578
"9854",3,0,100.498748779297,407.185485839844,94.8683319091797,2935.19775390625,431.085998535156,2.03999996185303,-12.499400138855,22.1096000671387,449.105377197266,408.806182861328
"9855",4,0,558.032287597656,558.032287597656,240,3018.60961914062,584.443969726562,1.68999993801117,-12.7897996902466,21.6661987304688,569.685668945312,538.364379882812
"9856",4,0,172.046508789062,483.838806152344,494.772674560547,2778.77978515625,577.414978027344,4.69999980926514,-9.67589950561523,24.1978988647461,658.675170898438,580.410461425781
"9857",2,0,126.491104125977,126.491104125977,0,2481.84399414062,501.871978759766,6.25999975204468,-7.9940996170044,25.3690986633301,463.512298583984,415.047790527344
"9858",3,0,383.275390625,383.275390625,67.0820388793945,3103.0947265625,586.27099609375,1.20999991893768,-13.5008993148804,21.395299911499,637.716064453125,614.551574707031
"9859",4,0,50,566.038879394531,563.648803710938,2891.7978515625,681.282958984375,3.00989985466003,-11.3140001296997,22.5380992889404,658.675170898438,580.410461425781
"9860",4,0,10,377.359252929688,60,2716.62280273438,442.058990478516,4.44000005722046,-9.81680011749268,24.3468990325928,452.648101806641,412.063201904297
"9861",4,0,40,411.096069335938,429.534637451172,2641.85131835938,596.140991210938,4.52999973297119,-9.66160011291504,24.1002998352051,625.764709472656,564.235656738281
"9862",3,1,0,272.946868896484,150,2834.44213867188,545.325012207031,3.32999992370605,-11.1518993377686,23.1854000091553,549.3369140625,489.316284179688
"9863",3,0,314.006378173828,314.006378173828,120,2976.6533203125,530.073974609375,1.80999994277954,-12.8104000091553,21.9580993652344,499.099395751953,468.885681152344
"9864",3,0,651.920227050781,1340.82055664062,30,3238.18725585938,650.364013671875,0.879999995231628,-13.6609001159668,20.4293003082275,563.13330078125,533.375
"9865",4,0,480.208282470703,1304.9521484375,390,3127.95532226562,651.390991210938,1.83999991416931,-12.5008001327515,21.4737987518311,687.350769042969,628.366271972656
"9866",3,0,174.928558349609,411.825225830078,150,2524.43017578125,385.125,4.85999965667725,-9.39639949798584,24.9727993011475,445.48388671875,383.910186767578
"9867",3,0,100,134.164077758789,94.8683319091797,2076.62719726562,465.848999023438,8.10999965667725,-6.93549966812134,27.855899810791,457.842987060547,385.970489501953
"9868",1,0,98.9949493408203,98.9949493408203,0,3134.93212890625,653.034973144531,1.0699999332428,-13.4743995666504,21.0112991333008,563.13330078125,533.375
"9869",4,0,89.4427185058594,89.4427185058594,94.8683319091797,2457.82836914062,510.790985107422,6.5,-7.82349967956543,25.4696998596191,527.951599121094,451.535400390625
"9870",3,0,108.166542053223,108.166542053223,30,2675.14599609375,496.930999755859,4.0499997138977,-10.2502994537354,24.1721992492676,542.955505371094,500.055084228516
"9871",1,0,429.534637451172,622.012878417969,0,3048.93896484375,595.097961425781,1.44999992847443,-12.9722995758057,21.2381000518799,722.501770019531,707.290283203125
"9872",3,0,53.8516464233398,67.0820388793945,42.4264068603516,2702.06591796875,450.099975585938,3,-11.4811992645264,23.0214996337891,414.245574951172,352.633697509766
"9873",2,0,58.3095169067383,141.421356201172,0,2790.99169921875,468.569000244141,3.1399998664856,-11.3070001602173,23.1464996337891,500.984100341797,468.112396240234
"9874",4,0,860.232543945312,1462.19006347656,254.55842590332,3316.84252929688,723.535888671875,0.669999957084656,-13.5773992538452,19.7490997314453,626.172912597656,584.702209472656
"9875",3,0,127.279220581055,127.279220581055,67.0820388793945,2748.03833007812,452.341003417969,3.68999981880188,-10.8000001907349,23.603199005127,492.351593017578,440.386383056641
"9876",4,0,198.494338989258,390,134.164077758789,2788.80615234375,465.023986816406,3.97999978065491,-10.3133993148804,23.9989986419678,492.351593017578,440.386383056641
"9877",4,0,138.924438476562,298.328674316406,150,2911.43115234375,595.511901855469,3.50999999046326,-10.7088994979858,23.0364990234375,581.781188964844,507.327575683594
"9878",4,0,212.602920532227,212.602920532227,42.4264068603516,2868.74365234375,650.60595703125,1.28999996185303,-15.1415996551514,22.2903003692627,811.904663085938,750.796875
