"","severity","aspen","seedsource.dist","distance.pre","distance.post","distance.high","elevation","ppt","ppt.111212345","ppt.678910","tmean","tmin1","tmax7","tmax.678910","ppt.2021","ppt.111212345.2021","ppt.678910.2021","tmax.678910.2021","ppt.2022","ppt.111212345.2022","ppt.678910.2022","tmax.678910.2022","bb.presence","bb.severity"
"8212",4,0,108.166534423828,22.3606796264648,100,108.166534423828,2721.43701171875,471.292999267578,357.774097442627,211.885692596436,3.73000001907349,-2.21179986000061,22.0767002105713,17.461619758606,626.172912597656,391.669290542603,185.570695877075,18.8057598114014,584.702209472656,397.66478729248,188.70579624176,18.551699256897,0,74
"8213",3,1,42.4264068603516,0,53.8516464233398,42.4264068603516,2766.85229492188,466.685974121094,296.313793182373,197.445598602295,2.99000000953674,-1.79549992084503,22.6407985687256,17.9804796218872,500.984100341797,314.812791824341,161.117794036865,19.0995391845703,468.112396240234,304.791589736938,163.16179561615,19.0584594726562,0,48
"8214",4,0,323.109893798828,156.205001831055,487.647399902344,323.109893798828,2732.03100585938,485.216979980469,274.874696731567,195.81859588623,3.95999979972839,-0.533899962902069,23.687198638916,19.0117992401123,492.351593017578,324.940689086914,156.969194412231,20.3482191085815,440.386383056641,256.384189605713,178.545897483826,20.2098997116089,0,37
"8215",3,0,30,319.530914306641,319.530914306641,30,1936.91064453125,470.108001708984,253.585694313049,237.895793914795,8.86989974975586,6.27729988098145,28.6202983856201,24.106538772583,470.0458984375,390.086890220642,105.94429898262,25.7141593933105,392.932800292969,199.722299814224,161.567196846008,25.872399520874,NA,NA
"8216",4,0,807.217407226562,104.40306854248,1190.79809570312,807.217407226562,2904.45288085938,552.257995605469,357.774097442627,211.885692596436,2.3899998664856,-2.21179986000061,22.0767002105713,17.461619758606,626.172912597656,391.669290542603,185.570695877075,18.8057598114014,584.702209472656,397.66478729248,188.70579624176,18.551699256897,0,32
"8217",1,0,0,14.1421356201172,14.1421356201172,0,2979.9912109375,513.899963378906,263.181196212769,166.975896835327,1.88999998569489,-0.836999952793121,23.3668994903564,18.6919193267822,445.48388671875,317.317498207092,124.228400230408,19.9515794754028,383.910186767578,232.384292602539,145.496598243713,19.8536590576172,NA,NA
"8218",1,0,0,44.7213592529297,120.415946960449,0,2735.728515625,526.393005371094,419.275093078613,227.906097412109,2.45000004768372,-2.84789991378784,21.4638996124268,16.8820795059204,666.644775390625,420.869194030762,206.277391433716,17.9239995956421,633.844787597656,453.38928604126,173.714096069336,17.8669593811035,0,7
"8219",4,0,295.465728759766,951.892822265625,1590.88024902344,295.465728759766,3186.38720703125,672.118957519531,357.774097442627,211.885692596436,0.919999957084656,-2.21179986000061,22.0767002105713,17.461619758606,626.172912597656,391.669290542603,185.570695877075,18.8057598114014,584.702209472656,397.66478729248,188.70579624176,18.551699256897,0,3
"8220",1,0,0,523.545593261719,523.545593261719,0,1948.96337890625,463.513977050781,231.044098854065,230.467395782471,8.09999942779541,5.40590000152588,28.1431999206543,23.6212591171265,419.923187255859,326.449686050415,114.489398002625,25.1631790161133,347.213989257812,164.599897146225,157.498995780945,25.3153793334961,NA,NA
"8221",3,0,42.4264068603516,353.553405761719,381.837646484375,42.4264068603516,2707.45434570312,477.792999267578,276.015092849731,214.630699157715,4.07999992370605,0.497599989175797,24.5241985321045,19.8529792785645,507.929779052734,324.425185203552,175.020394325256,21.1658798217773,464.253875732422,260.420997619629,194.475998878479,21.1025392532349,0,44
